type,dt,fluxN,fluxS
mono,2016-12-06 06:00:00,275.9890328657551,285.51343623682556
wave,2016-12-06 06:00:00,129.17517816633065,128.2788394903712
ions,2016-12-06 06:00:00,224.0542203338925,228.85317309160797
diff,2016-12-06 07:00:00,1461.9701196689093,1488.55166124568
mono,2016-12-06 07:00:00,624.3464510855407,623.5404151716492
wave,2016-12-06 07:00:00,414.68650275484555,394.0466861017266
ions,2016-12-06 07:00:00,337.2660861635805,340.28813670855897
diff,2016-12-06 08:00:00,784.6339654992544,806.6140769814626
mono,2016-12-06 08:00:00,310.23845466347484,315.42034898013947
wave,2016-12-06 08:00:00,141.9350942160468,142.69859969358424
ions,2016-12-06 08:00:00,233.92081833432977,238.69601872395148
diff,2016-12-06 09:00:00,687.8715603627733,713.13424159501
mono,2016-12-06 09:00:00,271.49257422792965,281.8266519791476
wave,2016-12-06 09:00:00,127.13908725958625,124.8575811837651
ions,2016-12-06 09:00:00,221.26703862414695,226.64053236763675
diff,2016-12-06 10:00:00,760.1885361098782,782.3454936368246
mono,2016-12-06 10:00:00,297.1979383534889,303.2180223174568
wave,2016-12-06 10:00:00,131.86426768006726,134.51758709351608
ions,2016-12-06 10:00:00,230.66037295170014,235.46208366148014
diff,2016-12-06 11:00:00,2646.8927976136315,2674.652788175389
mono,2016-12-06 11:00:00,1403.7780384505306,1352.6427203025928
wave,2016-12-06 11:00:00,771.2173596421496,754.4199739674618
ions,2016-12-06 11:00:00,549.6381402168844,550.4253053196595
diff,2016-12-06 12:00:00,2994.129144054674,3024.6492428264974
mono,2016-12-06 12:00:00,1761.5026314848178,1693.8070122386216
wave,2016-12-06 12:00:00,919.7455434718822,915.3494238849662
ions,2016-12-06 12:00:00,622.4068725162829,622.4952770406062
diff,2016-12-06 13:00:00,2186.583550320597,2212.834664633851
mono,2016-12-06 13:00:00,1022.868019812639,994.3872297639147
wave,2016-12-06 13:00:00,606.0487107874085,587.5523546138261
ions,2016-12-06 13:00:00,462.87254444308655,464.3788185467578
diff,2016-12-06 14:00:00,1150.9057190550786,1177.9303719119096
mono,2016-12-06 14:00:00,482.99636640874974,487.48407275319096
wave,2016-12-06 14:00:00,315.3655479908353,304.116896586387
ions,2016-12-06 14:00:00,286.7166597879183,290.45507710198603
diff,2016-12-06 15:00:00,736.7077682411605,761.2925585601683
mono,2016-12-06 15:00:00,293.2422384364464,299.02155593291826
wave,2016-12-06 15:00:00,128.89297720421175,134.8737763466902
ions,2016-12-06 15:00:00,230.31853816363736,233.79109125524064
diff,2016-12-06 16:00:00,678.8988057226177,703.5196565929975
mono,2016-12-06 16:00:00,266.7316106369616,275.66798998423985
wave,2016-12-06 16:00:00,118.9522955250045,119.3709658770888
ions,2016-12-06 16:00:00,219.615675643131,225.28436465080492
diff,2016-12-06 17:00:00,906.0466875128548,931.0275958555503
mono,2016-12-06 17:00:00,366.6004746758118,370.9579047126499
wave,2016-12-06 17:00:00,162.95688443279,164.96365849532972
ions,2016-12-06 17:00:00,250.71465328971973,254.5442821043947
diff,2016-12-06 18:00:00,1198.0212649122172,1224.0476501716207
mono,2016-12-06 18:00:00,504.0404097890797,510.08861433262246
wave,2016-12-06 18:00:00,336.8631038087417,321.23132435186835
ions,2016-12-06 18:00:00,293.84376558256207,297.8038478594219
diff,2016-12-06 19:00:00,1349.3360399623916,1375.7381504740745
mono,2016-12-06 19:00:00,573.5286512722852,574.6032356179854
wave,2016-12-06 19:00:00,375.30362654632563,359.99003598803324
ions,2016-12-06 19:00:00,318.2115614036724,321.88848757681836
diff,2016-12-06 20:00:00,1887.1940465687203,1912.9653658736527
mono,2016-12-06 20:00:00,835.0352050976387,817.7812511294583
wave,2016-12-06 20:00:00,508.0401302109709,491.00555809795327
ions,2016-12-06 20:00:00,409.66033084744686,411.63815583468636
diff,2016-12-06 21:00:00,1594.7171473563417,1620.7880837442667
mono,2016-12-06 21:00:00,680.8476548578142,674.2396686588849
wave,2016-12-06 21:00:00,440.4034727069154,415.7745062018418
ions,2016-12-06 21:00:00,359.59384689230046,362.2526131257619
diff,2016-12-06 22:00:00,1036.3909476571919,1064.28649023739
mono,2016-12-06 22:00:00,434.8529644915223,436.74910021865753
wave,2016-12-06 22:00:00,262.42202578143923,251.32813218727307
ions,2016-12-06 22:00:00,269.0733362027536,273.1656102128358
diff,2016-12-06 23:00:00,986.3241193912422,1014.3678159834263
mono,2016-12-06 23:00:00,410.1965560992242,413.3632032598911
wave,2016-12-06 23:00:00,194.64491741383733,197.49317385196787
ions,2016-12-06 23:00:00,262.0837954568124,265.76945804465896
diff,2016-12-07 00:00:00,652.5031212365479,676.3632080245195
mono,2016-12-07 00:00:00,253.93535692005472,261.89069897114285
wave,2016-12-07 00:00:00,105.97741513059158,109.44853399067658
ions,2016-12-07 00:00:00,216.0521959054267,221.7793061709301
diff,2016-12-07 01:00:00,652.5031212365479,676.3632080245195
mono,2016-12-07 01:00:00,253.93535692005472,261.89069897114285
wave,2016-12-07 01:00:00,105.97741513059158,109.44853399067658
ions,2016-12-07 01:00:00,216.0521959054267,221.7793061709301
diff,2016-12-07 02:00:00,652.5031212365479,676.3632080245195
mono,2016-12-07 02:00:00,253.93535692005472,261.89069897114285
wave,2016-12-07 02:00:00,105.97741513059158,109.44853399067658
ions,2016-12-07 02:00:00,216.0521959054267,221.7793061709301
diff,2016-12-07 03:00:00,652.5031212365479,676.3632080245195
mono,2016-12-07 03:00:00,253.93535692005472,261.89069897114285
wave,2016-12-07 03:00:00,105.97741513059158,109.44853399067658
ions,2016-12-07 03:00:00,216.0521959054267,221.7793061709301
diff,2016-12-07 04:00:00,652.5031212365479,676.3632080245195
mono,2016-12-07 04:00:00,253.93535692005472,261.89069897114285
wave,2016-12-07 04:00:00,105.97741513059158,109.44853399067658
ions,2016-12-07 04:00:00,216.0521959054267,221.7793061709301
diff,2016-12-07 05:00:00,652.5031212365479,676.3632080245195
mono,2016-12-07 05:00:00,253.93535692005472,261.89069897114285
wave,2016-12-07 05:00:00,105.97741513059158,109.44853399067658
ions,2016-12-07 05:00:00,216.0521959054267,221.7793061709301
diff,2016-12-07 06:00:00,652.5031212365479,676.3632080245195
